מועמד,קטגוריה,סגנון,סגנון_ביטחון,תפקיד_מאבק,תפקיד_חקיקה,תפקיד_חיבור,מספר_נושא,נושא,עמדות_ציון,עמדות_ביטחון,ביצוע_ציון,ביצוע_ביטחון,תדמית_ציון,תדמית_ביטחון,עוגן
נמרוד שפר,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
נמרוד שפר,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
נמרוד שפר,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
רונן צור,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
רונן צור,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
רונן צור,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
רונן צור,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
רונן צור,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
רונן צור,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
רונן צור,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
רונן צור,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
רונן צור,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
רונן צור,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
רונן צור,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
רונן צור,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
משה רדמן,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
משה רדמן,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
משה רדמן,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
משה רדמן,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
משה רדמן,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
משה רדמן,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
משה רדמן,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
משה רדמן,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
משה רדמן,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
משה רדמן,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
משה רדמן,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
משה רדמן,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
ערן עציון,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
ערן עציון,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
ערן עציון,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
ערן עציון,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
ערן עציון,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
ערן עציון,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
ערן עציון,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
ערן עציון,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
ערן עציון,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
ערן עציון,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
ערן עציון,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
ערן עציון,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
דני אלגרט,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
דני אלגרט,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
דני אלגרט,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
דני אלגרט,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
דני אלגרט,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
דני אלגרט,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
דני אלגרט,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
דני אלגרט,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
דני אלגרט,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
דני אלגרט,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
דני אלגרט,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
דני אלגרט,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
תומר אביטל,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
תומר אביטל,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
תומר אביטל,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
תומר אביטל,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
תומר אביטל,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
תומר אביטל,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
תומר אביטל,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
תומר אביטל,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
תומר אביטל,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
תומר אביטל,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
תומר אביטל,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
תומר אביטל,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
יאיר רובינשטיין,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
יאיר רובינשטיין,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
יאיר רובינשטיין,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
יאיר רובינשטיין,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
יאיר רובינשטיין,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
יאיר רובינשטיין,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
יאיר רובינשטיין,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
יאיר רובינשטיין,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
יאיר רובינשטיין,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
יאיר רובינשטיין,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
יאיר רובינשטיין,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
יאיר רובינשטיין,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
אמיר חניפס,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
אמיר חניפס,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
אמיר חניפס,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
אמיר חניפס,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
אמיר חניפס,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
אמיר חניפס,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
אמיר חניפס,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
אמיר חניפס,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
אמיר חניפס,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
אמיר חניפס,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
אמיר חניפס,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
אמיר חניפס,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
עלי סלאלחה,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
עלי סלאלחה,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
עלי סלאלחה,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
עלי סלאלחה,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
עלי סלאלחה,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
עלי סלאלחה,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
עלי סלאלחה,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
עלי סלאלחה,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
עלי סלאלחה,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
עלי סלאלחה,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
עלי סלאלחה,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
עלי סלאלחה,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
מאלק בדר,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
מאלק בדר,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
מאלק בדר,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
מאלק בדר,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
מאלק בדר,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
מאלק בדר,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
מאלק בדר,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
מאלק בדר,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
מאלק בדר,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
מאלק בדר,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
מאלק בדר,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
מאלק בדר,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
גאלב סלאמנה,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
גאלב סלאמנה,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
גאלב סלאמנה,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
גאלב סלאמנה,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
גאלב סלאמנה,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
גאלב סלאמנה,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
גאלב סלאמנה,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
גאלב סלאמנה,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
גאלב סלאמנה,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
גאלב סלאמנה,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
גאלב סלאמנה,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
גאלב סלאמנה,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
עאיד בדיר,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
עאיד בדיר,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
עאיד בדיר,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
עאיד בדיר,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
עאיד בדיר,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
עאיד בדיר,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
עאיד בדיר,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
עאיד בדיר,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
עאיד בדיר,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
עאיד בדיר,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
עאיד בדיר,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
עאיד בדיר,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
איהאב שליאן,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
איהאב שליאן,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
איהאב שליאן,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
איהאב שליאן,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
איהאב שליאן,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
איהאב שליאן,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
איהאב שליאן,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
איהאב שליאן,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
איהאב שליאן,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
איהאב שליאן,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
איהאב שליאן,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
איהאב שליאן,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
נדאל מסאלחה,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
נדאל מסאלחה,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
נדאל מסאלחה,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
נדאל מסאלחה,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
נדאל מסאלחה,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
נדאל מסאלחה,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
נדאל מסאלחה,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
נדאל מסאלחה,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
נדאל מסאלחה,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
נדאל מסאלחה,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
נדאל מסאלחה,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
נדאל מסאלחה,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
סומיה בשיר,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
סומיה בשיר,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
סומיה בשיר,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
סומיה בשיר,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
סומיה בשיר,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
סומיה בשיר,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
סומיה בשיר,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
סומיה בשיר,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
סומיה בשיר,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
סומיה בשיר,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
סומיה בשיר,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
סומיה בשיר,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
אומיימה חאמד,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
אומיימה חאמד,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
אומיימה חאמד,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
אומיימה חאמד,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
אומיימה חאמד,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
אומיימה חאמד,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
אומיימה חאמד,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
אומיימה חאמד,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
אומיימה חאמד,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
אומיימה חאמד,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
אומיימה חאמד,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
אומיימה חאמד,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
אבתיסאם מראענה-מנוחין,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
אבתיסאם מראענה-מנוחין,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
אבתיסאם מראענה-מנוחין,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
אבתיסאם מראענה-מנוחין,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
אבתיסאם מראענה-מנוחין,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
אבתיסאם מראענה-מנוחין,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
אבתיסאם מראענה-מנוחין,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
אבתיסאם מראענה-מנוחין,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
אבתיסאם מראענה-מנוחין,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
אבתיסאם מראענה-מנוחין,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
אבתיסאם מראענה-מנוחין,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
אבתיסאם מראענה-מנוחין,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
אורי זכי,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
אורי זכי,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
אורי זכי,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
אורי זכי,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
אורי זכי,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
אורי זכי,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
אורי זכי,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
אורי זכי,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
אורי זכי,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
אורי זכי,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
אורי זכי,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
אורי זכי,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
איילת השחר סיידוף,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
איילת השחר סיידוף,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
איילת השחר סיידוף,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
איילת השחר סיידוף,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
איילת השחר סיידוף,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
איילת השחר סיידוף,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
איילת השחר סיידוף,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
איילת השחר סיידוף,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
איילת השחר סיידוף,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
איילת השחר סיידוף,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
איילת השחר סיידוף,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
איילת השחר סיידוף,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
נאווה רוזוליו,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
נאווה רוזוליו,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
נאווה רוזוליו,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
נאווה רוזוליו,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
נאווה רוזוליו,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
נאווה רוזוליו,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
נאווה רוזוליו,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
נאווה רוזוליו,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
נאווה רוזוליו,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
נאווה רוזוליו,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
נאווה רוזוליו,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
נאווה רוזוליו,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
